,channel_name,country,subscribers,channel_heat_index
1,Lisa,LU,18700,0.2487669884673013
2,Fitness France,FR,8680,0.2310494614703568
3,Magyar Streamer Bajnokság,HU,6950,0.2238178631127304
4,NYX Professional Makeup France,FR,1420,0.217743371950664
5,Utazás BUSINESS CLASSban,HU,4060,0.2128532527609662
6,Belső utazás (The Journey Hungary),HU,4230,0.2115646266985393
7,Business France,FR,4000,0.2095979335079143
8,Der Legionär Magyar,HU,3790,0.2094353662460627
9,"Thérèse [musique & podcast ""T'as mal où ?""]",FR,3490,0.2069830391371811
10,Luxembourg for Tourism - Visit Luxembourg,LU,2160,0.2013048591018287
11,Parkinson: Recherche au Luxembourg,LU,2550,0.1989194477320835
12,Daily French Voyage,FR,2600,0.1987083939514166
13,From Luxembourg with Loaf,LU,2430,0.1973435418475545
14,Premiers Secours en Santé Mentale - France,FR,2440,0.1972409012494931
15,Sheikh sathi lifestyle France,FR,2010,0.1925561292555332
16,Magyar Viktor Stream,HU,1930,0.1914428988970458
17,Tamanna’s Kitchen & Lifestyle France,FR,1870,0.1905406217033596
18,Crêpes De France,FR,1720,0.1894496028432979
19,Vaibhav KKM,LU,1650,0.1878415825636933
20,French Lifestyle,FR,1430,0.1843915301518463
21,HUSZONEGY Bitcoin podcast,HU,1390,0.1832971462330442
22,Anibarátok Podcast,HU,1370,0.1831617586086942
23,Un Français à l'EPFL,FR,1260,0.1810087793088194
24,Gay in Rural France - French Countryside Life,FR,1250,0.1805285134795958
25,ASTEN SANTE,FR,1220,0.1799780984696205
26,Women in Games France,FR,1100,0.1773099497860666
27,Luxembourg School of Business,LU,1060,0.1767320493693461
28,パリ Franceのマルシェから,FR,945,0.1742799670201573
29,Le Recap Twitch,FR,854,0.1714649727084615
30,"Trader Rock - Forex, Crypto, Tőzsde Podcast",HU,869,0.1712638751691447
31,Magyar Funkcionális Fitnesz Sportági Szakszövetség,HU,820,0.1706331405019629
32,Urban Sports Club Youtube France,FR,29,0.1702341137537119
33,Jahanara lifestyle france,FR,799,0.1690768362589461
34,Choeur de Chambre de Luxembourg,LU,729,0.1672976018721901
35,12 Tone Music,HU,702,0.1670584493340407
36,Onacook France,FR,671,0.1664431913180291
37,Magyar Tech Tippek,HU,662,0.1664099559773345
38,Chaos Boys Hungary - Field of Cards podcast,HU,643,0.1635498967944271
39,Magyar E-sport Szövetség,HU,569,0.1614477877846071
40,Startup Bootcamp France,FR,562,0.1606154821326577
41,Auchan Luxembourg,LU,498,0.1593876470652208
42,Luxembourg Institute of Health,LU,463,0.159056169439843
43,Magyar Zene Nyaralója,HU,533,0.1590050817897208
44,FRED'S KITCHEN FRANCE,FR,517,0.158062014648407
45,CMCM Luxembourg,LU,478,0.1578064013369891
46,Un Français à Montréal 🇨🇦,FR,505,0.1576866388287359
47,Luxembourg Tech School,LU,458,0.1550445892404486
48,Culture de France,FR,422,0.1535592866454107
49, Magyar Gamer CJ,HU,382,0.1531370328574048
50,Trove Film Collective,HU,393,0.1522376012511011
51,Research Luxembourg,LU,392,0.152099136457807
52,Chill mam Will,LU,401,0.151851460609073
53,Lux Podcast,LU,367,0.1493295159773357
54,Hungarian Mirror,HU,348,0.1491488640227177
55,Impulse Fitness France,FR,359,0.149010473555659
56,Magyar Humor,HU,244,0.1467845840505511
57,Rugby Club Luxembourg,LU,297,0.1444406239348232
58,Powerlifting & Weightlifting Federation Luxembourg,LU,286,0.1438866360621022
59,Magyar Lelátó,HU,249,0.1430475299563033
60,Shark Beauty France,FR,182,0.1421846768491915
61,Luxembourg American Cultural Society,LU,267,0.141933054152084
62,Sacred Heart University Luxembourg,LU,260,0.141216410733344
63,Onorina Jomir Beauty,FR,237,0.1409873964417602
64,Miss Small Beauty France,FR,256,0.1408545404070351
65,Vegan Fighter France,FR,253,0.1401186220272855
66,POST Telecom for Business,LU,202,0.1400408950409774
67,Luxembourg Sports Network,LU,235,0.1399143857373008
68,"Izraelben utazás, csillag túrák magyarul.",HU,211,0.1366487101521649
69,Oberweis Luxembourg,LU,87,0.1357591171729573
70,Life style and Culture in france,FR,170,0.1350107714640311
71,91. perc podcast,HU,202,0.1346103145297584
72,Magyar Pedagógiai Társaság,HU,194,0.1334515754831112
73,Ultima Gaming France ,FR,176,0.1330018743953138
74,Association Santé Environnement France - ASEF,FR,180,0.1326428605967183
75,Luxembourg Expo Pavilion,LU,180,0.13258449182366
