,channel_name,subscribers,engagement_rate,channel_heat_index
1,Médecins du Monde Luxembourg,35,72251.47222222222,0.4911430592964464
2,Indian Mom in Europe Komal Vlogs,291000,840.6958154782973,0.3353925894226176
3,Ala Luxembourg Lo | అల లక్సెంబర్గ్ లో,40900,47.78130119067993,0.2686113500173628
4,The Escape Plans,20400,74.34086564384098,0.2511487382356188
5,Lisa,18700,34.83936687877654,0.2487669884673013
6,Luxemburger Landwirtschaft,15300,271.1466570812365,0.2451113724303587
7,CHL Luxembourg,13500,500.1479890378491,0.2433629600450521
8,Luxemburger Wort,5540,595.7392167478795,0.2212065215378625
9,Christian Lavey - Magician - Video Creator - Fun,3880,131.7528987374388,0.2094957428146187
10,YONZAN VLOG,3630,88.18397135775268,0.2075625326585607
11,PwC Luxembourg,3390,268.39516366853434,0.206864131045516
12,Luxembourg for Tourism - Visit Luxembourg,2160,1278.76307265155,0.2013048591018287
13,Parkinson: Recherche au Luxembourg,2550,136.06899255194045,0.1989194477320835
14,"Ministère de l'Education nationale, de l'Enfance et de la Jeunesse",2150,806.5406787540679,0.1983892298083313
15,From Luxembourg with Loaf,2430,74.03496503496504,0.1973435418475545
16,Vaibhav KKM,1650,123.01029678982437,0.1878415825636933
17,Luxembourg School of Business,1060,134.3129123468426,0.1767320493693461
18,LUNEX,764,1324.1777777777777,0.1751033688895672
19,Choeur de Chambre de Luxembourg,729,136.14794520547946,0.1672976018721901
20,Auchan Luxembourg,498,442.48496993987976,0.1593876470652208
21,Luxembourg Institute of Health,463,713.3534482758621,0.159056169439843
22,CMCM Luxembourg,478,343.8016701461378,0.1578064013369891
23,Luxembourg Tech School,458,40.99782135076253,0.1550445892404486
24,Research Luxembourg,392,216.587786259542,0.152099136457807
25,Chill mam Will,401,69.00746268656717,0.151851460609073
26,Lux Podcast,367,17.141304347826086,0.1493295159773357
27,Rugby Club Luxembourg,297,96.51677852348992,0.1444406239348232
28,Powerlifting & Weightlifting Federation Luxembourg,286,167.15331010452962,0.1438866360621022
29,Luxembourg American Cultural Society,267,127.5223880597015,0.141933054152084
30,Sacred Heart University Luxembourg,260,118.9080459770115,0.141216410733344
31,POST Telecom for Business,202,1051.2118226600985,0.1400408950409774
32,Luxembourg Sports Network,235,342.72033898305085,0.1399143857373008
33,Oberweis Luxembourg,87,4078.9545454545455,0.1357591171729573
34,Luxembourg Expo Pavilion,180,229.71270718232043,0.13258449182366
35,Kulturministère - Ministère de la Culture,178,82.89385474860335,0.1314900347933007
36,luxembourg ball gaming !!1!,152,248.34640522875816,0.1284495323910757
37,Anna Luxembourg,147,122.4391891891892,0.1269075087713682
38,FJU Luxembourg,150,24.8476821192053,0.1268709142204444
39,Travel Nature & Sports,128,620.9069767441861,0.1261973211653157
40,Healthcareers Luxembourg,122,552.8455284552846,0.1246256368700192
41,The Little Gym Luxembourg,135,56.13970588235294,0.1244020138054916
42,Meghna Luxembourg Vlogs,90,707.065934065934,0.1178595026854498
43,The Luxembourg Mind,89,49.41111111111111,0.1139367973407136
44,Freelander's Sports Luxembourg,13,7966.571428571428,0.1107873704252288
45,Deep Dive Culture,57,106.65517241379312,0.103156094883671
46,Philharmonie Luxembourg Education,56,124.36842105263158,0.1028137901225133
47,MediNation Luxembourg,51,107.17307692307692,0.100400155525267
48,FlashGraphics Luxembourg,40,982.560975609756,0.0992512853973351
49,Healthcare Week Luxembourg ,37,65.36842105263158,0.0922450848430503
50,CityNews Luxembourg,35,73.25,0.0909231395359913
51,FHSE - University of Luxembourg,29,114.1,0.0865443201848469
52,LuxUnplugged Podcast,17,51.888888888888886,0.0732963690614791
53,Froothie Luxembourg,10,254.36363636363637,0.0619781457347592
54,Inspirations Luxembourg,7,140.25,0.0533019829726621
55,Positive Psy Luxembourg,5,71.0,0.0456518130480157
56,Wolfs_Blue Luxemburg Gamer,2,50.666666666666664,0.0280307200000891
