source,target,similarity,source_country,target_country
Français avec Nelly,Le Foot Français,0.788847808628993,FR,FR
Français avec Nelly,Joyce Meyer Ministri,0.7841991084659226,FR,FR
Français avec Nelly,Notre Histoire,0.8063961192439354,FR,FR
Français avec Nelly,SleepingBeauty,0.777751318953464,FR,FR
Bluey - Français Cha,France tv sport,0.8193989272437017,FR,FR
Roronoa Zoro - Blox ,Ina French Style,0.765633845360914,FR,FR
Roronoa Zoro - Blox ,Távoktatás magyar ny,0.7820664575565269,FR,HU
Roronoa Zoro - Blox ,Luxemburger Landwirt,0.8189196292011767,FR,LU
Roronoa Zoro - Blox ,M•A•C Cosmetics Fran,0.8800771385085191,FR,FR
Roronoa Zoro - Blox ,Ala Luxembourg Lo | ,0.7952398679246632,FR,LU
Roronoa Zoro - Blox ,The Escape Plans,0.8922394367343922,FR,LU
Le Foot Français,Not Even French,0.7673509685793907,FR,FR
Le Foot Français,Voyage Voyages,0.7777638833066715,FR,FR
Les Schtroumpfs • Fr,Joyce Meyer Ministri,0.7885587357827784,FR,FR
Les Schtroumpfs • Fr,Magyar Barbara,0.8190489523211284,FR,HU
Les Schtroumpfs • Fr,NBA Extra - beIN SPO,0.8175264868540779,FR,FR
Les Schtroumpfs • Fr,Prime Video Sport Fr,0.8228399364329173,FR,FR
Les Schtroumpfs • Fr,France Musique conce,0.761124652903449,FR,FR
Les Schtroumpfs • Fr,SleepingBeauty,0.7736545231286736,FR,FR
Les Schtroumpfs • Fr,SRAM,0.8720725132895963,FR,HU
Les Schtroumpfs • Fr,Amélia jól szórakozi,0.8165533644148506,FR,HU
Les Schtroumpfs • Fr,Indian Mom in Europe,0.767800024497497,FR,LU
Les Schtroumpfs • Fr,BEYBLADE Français - ,0.9594850302751943,FR,FR
Joyce Meyer Ministri,Notre Histoire,0.7803566897076332,FR,FR
Joyce Meyer Ministri,Prime Video Sport Fr,0.7683173315954249,FR,FR
Joyce Meyer Ministri,France Musique conce,0.8205477320066377,FR,FR
Joyce Meyer Ministri,SleepingBeauty,0.9477887007341933,FR,FR
Joyce Meyer Ministri,SRAM,0.808600160763346,FR,HU
Joyce Meyer Ministri,BEYBLADE Français - ,0.7650177302354626,FR,FR
Joyce Meyer Ministri,Baloo Live,0.8058274599972826,FR,FR
Un Français à Montré,Startup Bootcamp Fra,0.8608532517979118,FR,FR
