,channel_name,country,subscribers,channel_heat_index
1,Frostbite Gaming,FR,5430000,0.5955603876135892
2,SQUEEZIE GAMING,FR,5060000,0.5357631634213975
3,Médecins du Monde Luxembourg,LU,35,0.4911430592964464
4,The Frustrated Gamer,FR,3430000,0.4880407083843329
5,Royalty Gaming,FR,7540000,0.4717762883960105
6,MSA French,FR,2570000,0.4239725543967149
7,Bluey - Français Chaîne Officielle,FR,897000,0.3762528448907609
8,France tv sport,FR,847000,0.3622132644920735
9,Jaime French,FR,975000,0.3566395351141808
10,France Culture,FR,836000,0.3544922357514598
11,Notre Histoire,FR,832000,0.3484637720038169
12,Baloo Live,FR,619000,0.344635937792341
13,Français avec Nelly,FR,641000,0.3398010752239485
14,France Musique concerts,FR,449000,0.3385196636425702
15,Indian Mom in Europe Komal Vlogs,LU,291000,0.3353925894226176
16,SleepingBeauty,FR,454000,0.3344475715124437
17,Joyce Meyer Ministries Français,FR,414000,0.3315610469513962
18,Prime Video Sport France,FR,289000,0.3311564978609881
19,NBA Extra - beIN SPORTS France,FR,267000,0.330554382727927
20,Le Foot Français,FR,376000,0.3256101932992833
