country,channel_id,channel_name,subscriber_count,total_videos,total_views,avg_views_per_video,engagement_rate,normalized_engagement_rate,government_criticism_rate,multilingual_content_rate,avg_num_languages,primary_language,political_stance,democracy_index,avg_likes_per_video,avg_comments_per_video,data_collection_date
France,UCPbb9IMu5o3-rZZzy4VrXtg,BBR PHŒNIX FR,1192,68,1192231,17532.808823529413,3.276881745232258,21.955107693056128,57.35294117647059,4.411764705882353,1.0441176470588236,fr,independent,0.75,535.8823529411765,38.64705882352941,2025-12-28
France,UCXwDLMDV86ldKoFVc_g8P0g,BFMTV,2827,71,2827433,39823.0,2.209424591139737,14.803144760636238,66.19718309859155,2.8169014084507045,1.028169014084507,fr,independent,0.75,669.887323943662,209.9718309859155,2025-12-28
France,UCvg4_wSz4Cmo4xRPXaKU47A,C dans l'air - France Télévisions,7729,206,7729047,37519.645631067964,1.3214824544345507,8.85393244471149,41.74757281553398,0.9708737864077669,1.0097087378640777,fr,independent,0.75,407.04368932038835,88.77184466019418,2025-12-28
France,UCejTWYquMXD_MFHRZiqo_Aw,C à vous - France Télévisions,1921,58,1921220,33124.48275862069,1.8844276032937404,12.625664942068061,65.51724137931035,3.4482758620689653,1.0344827586206897,fr,independent,0.75,569.9310344827586,54.275862068965516,2025-12-28
France,UCIMGfEAERXjmWwQeg15BFsg,Europe 1,959,100,959888,9598.88,2.36996399579951,15.878758771856717,52.0,2.0,1.02,fr,independent,0.75,149.2,78.29,2025-12-28
France,UCCCPCZNChQdGa9EkATeye4g,FRANCE 24,2419,103,2419948,23494.64077669903,1.2551922603295609,8.409788144208058,42.71844660194174,0.9708737864077669,1.0097087378640777,fr,independent,0.75,201.3398058252427,93.5631067961165,2025-12-28
France,UCd5DKToXYTKAQ6khzewww2g,France Culture,6752,450,6752017,15004.482222222223,3.0060795166836813,20.140732761780665,65.33333333333333,3.111111111111111,1.0333333333333334,fr,independent,0.75,384.9711111111111,66.07555555555555,2025-12-28
France,UCJldRgT_D7Am-ErRHQZ90uw,France Inter,1206,73,1206419,16526.287671232876,2.644023345123046,17.71495641232441,80.82191780821918,2.73972602739726,1.0273972602739727,fr,independent,0.75,410.4109589041096,26.54794520547945,2025-12-28
France,UCAcAnMF0OrCtUep3Y4M-ZPw,HugoDécrypte - Actus du jour,116574,443,116574215,263147.2121896162,3.079046253925021,20.62960990129764,44.01805869074492,1.1286681715575622,1.0112866817155757,fr,independent,0.75,7595.503386004515,506.92099322799095,2025-12-28
France,UCk-_PEY3iC6DIGJKuoEe9bw,JEAN-LUC MÉLENCHON,14678,76,14678029,193131.9605263158,4.149794226459152,27.803621317276317,30.263157894736842,1.3157894736842104,1.013157894736842,fr,independent,0.75,6954.763157894737,1059.8157894736842,2025-12-28
France,UCewhc0fvja891XkpIPGRMxQ,LCI,4403,61,4403317,72185.52459016393,1.729582494287829,11.588202711728455,42.62295081967213,1.639344262295082,1.0163934426229508,fr,independent,0.75,747.5081967213115,501.0,2025-12-28
France,UCHGFbA0KWBgf6gMbyUCZeCQ,LCP - Assemblée nationale,3052,225,3052005,13564.466666666667,1.777978738566942,11.912457548398512,43.111111111111114,0.8888888888888888,1.008888888888889,fr,independent,0.75,173.6977777777778,67.47555555555556,2025-12-28
