channel_name,total_views,avg_views,video_count,total_likes,avg_likes,total_comments,avg_comments,avg_engagement_rate,country
Ligne Droite • La matinale de Radio Courtoisie,2058688,13724.586666666666,150,149554,997.0266666666666,18290,121.93333333333334,0.09366052986050583,France
Pure Politique,5206145,102081.27450980392,51,382197,7494.058823529412,30276,593.6470588235294,0.0832199281831338,France
Politique France Décryptée,1802164,4516.701754385965,399,60494,151.6140350877193,1947,4.879699248120301,0.08079912573105875,France
BBR PHŒNIX FR,1192231,17532.808823529413,68,36440,535.8823529411765,2628,38.64705882352941,0.05361330890977036,France
JEAN-LUC MÉLENCHON,14678029,193131.9605263158,76,528562,6954.763157894737,80546,1059.8157894736842,0.049910540934259284,France
France Culture,6752017,15004.482222222223,450,173237,384.9711111111111,29734,66.07555555555555,0.0349206169578141,France
HugoDécrypte - Actus du jour,116574215,263147.2121896162,443,3364808,7595.503386004515,224566,506.92099322799095,0.033348932344228394,France
France Inter,1206419,16526.287671232876,73,29960,410.4109589041096,1938,26.54794520547945,0.025729942275617163,France
Europe 1,959888,9598.88,100,14920,149.2,7829,78.29,0.02516954168919272,France
Public Sénat,351344,12548.0,28,8164,291.57142857142856,1259,44.964285714285715,0.024180753733245974,France
franceinfo,615988,10806.807017543859,57,10447,183.28070175438597,2379,41.73684210526316,0.022101481086975523,France
BFMTV,2827433,39823.0,71,47562,669.887323943662,14908,209.9718309859155,0.021926722311219265,France
LCP - Assemblée nationale,3052005,13564.466666666667,225,39082,173.6977777777778,15182,67.47555555555556,0.01902725151057443,France
TF1 INFO,10758341,168099.078125,64,156365,2443.203125,20584,321.625,0.01860779656475444,France
LCI,4403317,72185.52459016393,61,45598,747.5081967213115,30561,501.0,0.01820917705549986,France
RFI,3692357,25641.368055555555,144,31940,221.80555555555554,6156,42.75,0.014964093265589316,France
C à vous - France Télévisions,1921220,33124.48275862069,58,33056,569.9310344827586,3148,54.275862068965516,0.014069975653939967,France
FRANCE 24,2419948,23494.64077669903,103,20738,201.3398058252427,9637,93.5631067961165,0.014025338693998564,France
C dans l'air - France Télévisions,7729047,37519.645631067964,206,83851,407.04368932038835,18287,88.77184466019418,0.013259547217207282,France
RMC,8903331,118711.08,75,2254,30.053333333333335,22096,294.61333333333334,0.009906083297156424,France
