channel_name,total_views,avg_views,video_count,total_likes,avg_likes,total_comments,avg_comments,avg_engagement_rate,country
cercle de coopération,299,299.0,1,44,44.0,0,0.0,0.14715719063545152,Luxembourg
ptbbelgique,4178050,31893.51145038168,131,184916,1411.5725190839694,11818,90.21374045801527,0.07761962106733741,Luxembourg
Exploring The Benelux,38,1.4615384615384615,26,2,0.07692307692307693,0,0.0,0.057692307692307696,Luxembourg
Alternativ Demokratesch Reformpartei,2460,50.204081632653065,49,109,2.2244897959183674,9,0.1836734693877551,0.054851547132082276,Luxembourg
United Nations,5149960,16720.64935064935,308,117383,381.1136363636364,21752,70.62337662337663,0.04441309581153748,Luxembourg
Clara Moraru,104,17.333333333333332,6,7,1.1666666666666667,0,0.0,0.04306878306878307,Luxembourg
Rashid Ofl,21329516,56427.29100529101,378,737839,1951.9550264550264,33915,89.72222222222223,0.04272043672004738,Luxembourg
AP Archive,222473,2966.306666666667,75,1176,15.68,2577,34.36,0.02413955760646872,Luxembourg
euronews,967394,9771.656565656565,99,6006,60.666666666666664,6737,68.05050505050505,0.020803453931860817,Luxembourg
Channel 4 News,3378788,60335.5,56,45345,809.7321428571429,20168,360.14285714285717,0.020322986235450414,Luxembourg
CRUX,756716,7492.237623762377,101,11861,117.43564356435644,3746,37.08910891089109,0.01873694531839561,Luxembourg
RTL Luxembourg,70189,2126.939393939394,33,1195,36.21212121212121,59,1.7878787878787878,0.016787692709296063,Luxembourg
Nordic Today,999,13.32,75,8,0.10666666666666667,8,0.10666666666666667,0.0133603105340136,Luxembourg
Sven Clement,19190,259.3243243243243,74,84,1.135135135135135,1,0.013513513513513514,0.010516727245470883,Luxembourg
EU Debates | eudebates.tv,35347,1178.2333333333333,30,0,0.0,398,13.266666666666667,0.009652589328621928,Luxembourg
India Today,355481,3173.9375,112,2002,17.875,556,4.964285714285714,0.007928243028807952,Luxembourg
CATCH THE EYE,65500,1149.122807017544,57,648,11.368421052631579,29,0.5087719298245614,0.00689059057967472,Luxembourg
Paperjam,6525,191.91176470588235,34,27,0.7941176470588235,0,0.0,0.006452251024896013,Luxembourg
