channel_name,total_views,avg_views,video_count,total_likes,avg_likes,total_comments,avg_comments,avg_engagement_rate,country
A TISZA TÁMOGATÓI KÖZÖSSÉG,1930156,9508.15763546798,203,130296,641.8522167487685,17723,87.30541871921183,0.10232707822113553,Hungary
Dr. Márki-Zay Péter,3181686,18181.062857142857,175,202646,1157.9771428571428,18234,104.19428571428571,0.07946944128676081,Hungary
Csaba Dömötör,1471336,13623.481481481482,108,57001,527.7870370370371,1552,14.37037037037037,0.0664515814532839,Hungary
Csárdi Antal,808745,5990.7037037037035,135,34256,253.74814814814815,488,3.6148148148148147,0.05393037682954712,Hungary
Kontroll,16462744,41363.6783919598,398,661475,1661.997487437186,50461,126.78643216080403,0.04730183459152797,Hungary
Hit Rádió,4560824,12668.955555555556,360,197928,549.8,9079,25.219444444444445,0.04581158389736856,Hungary
Magyar Nemzet,994565,14625.95588235294,68,24800,364.70588235294116,1828,26.88235294117647,0.044853192355134255,Hungary
Magyar Közöny Podcast,9079169,26089.566091954024,348,266197,764.933908045977,20040,57.58620689655172,0.03827571387916897,Hungary
hirado․hu - Magyarország hírforrása,539794,7197.253333333333,75,18563,247.50666666666666,406,5.413333333333333,0.03827075309811285,Hungary
Mandiner,3351261,33512.61,100,95157,951.57,6994,69.94,0.03824469575641047,Hungary
Hír TV,598900,6439.784946236559,93,17434,187.46236559139786,2103,22.612903225806452,0.037813383676356345,Hungary
Viccország,5610298,32058.845714285715,175,151272,864.4114285714286,12639,72.22285714285714,0.03605556403084212,Hungary
Alap Hírek,23172,1931.0,12,792,66.0,72,6.0,0.029872776597458434,Hungary
Telex․hu,28796529,100336.33797909408,287,716652,2497.045296167247,95971,334.3937282229965,0.028033513934512956,Hungary
DW Magyar,2738252,9957.28,275,51016,185.51272727272726,6310,22.945454545454545,0.027537631777138215,Hungary
Frisshírek Podcast,408594,8512.375,48,8403,175.0625,741,15.4375,0.022416072817043494,Hungary
ATV Magyarország,970554,23108.428571428572,42,15356,365.6190476190476,4449,105.92857142857143,0.02204154495353184,Hungary
ÖT,1769796,23597.28,75,24027,320.36,1950,26.0,0.020816958765997685,Hungary
Hoppá! Show,1929578,77183.12,25,38317,1532.68,1030,41.2,0.018775768395602424,Hungary
M1 - Híradó,496365,7520.681818181818,66,0,0.0,1606,24.333333333333332,0.00543227716776519,Hungary
